date,time,title,link
2024.12.09,21:57,"12月降息機率近9成 台指期夜盤突破23,400關卡",https://www.ctee.com.tw/news/20241209701895-430202
2024.12.09,20:07,詩肯前11月營收 突破20億元大關,https://www.ctee.com.tw/news/20241209701772-430201
2024.12.09,19:08,聖暉＊11月、前11月營收雙創同期新高 近月股價漲幅2成,https://www.ctee.com.tw/news/20241209701691-430201
2024.12.09,18:56,12月9日一分鐘強弱勢股,https://www.ctee.com.tw/news/20241209701669-430204
2024.12.09,18:52,歲末居家修繕剛需強 特力零售11月營收年增7.7％,https://www.ctee.com.tw/news/20241209701675-430201
2024.12.09,18:39,揚秦前11月營收23億元 超越去年全年,https://www.ctee.com.tw/news/20241209701641-430201
2024.12.09,18:24,文曄11月營收675億元 月減31％、年增6％,https://www.ctee.com.tw/news/20241209701597-430201
2024.12.09,18:23,長榮11月營收360.93億元 月減13％、年增59％,https://www.ctee.com.tw/news/20241209701586-430201
2024.12.09,18:20,期貨最新報價 12／9期交所夜盤行情,https://www.ctee.com.tw/news/20241209701591-430202
2024.12.09,18:15,台南-KY運動盤清庫存壓力重 前三季營收大減15％ 明年Q1終結庫存,https://www.ctee.com.tw/news/20241209701552-430201
2024.12.09,18:07,外資持續回補台股 關注中小型股籌碼變化和波動,https://www.ctee.com.tw/news/20241209701530-430206
2024.12.09,18:06,築間11月與前11月營收雙創同期新高 進入火鍋旺季營運動能升溫,https://www.ctee.com.tw/news/20241209701523-430201
2024.12.09,17:48,全家餐飲11月營收1.9億 累計前11月營收21.67億 雙創同期新高,https://www.ctee.com.tw/news/20241209701494-430201
2024.12.09,17:28,火鍋旺季、展店助攻 王品11月營收18億元創同期高,https://www.ctee.com.tw/news/20241209701453-430201
2024.12.09,17:18,《期貨》期交所宣導說明會 協助期貨商強化法令遵循,https://www.ctee.com.tw/news/20241209701596-430201
2024.12.09,17:11,新店、周年慶助攻 米斯特11月營收年增29％,https://www.ctee.com.tw/news/20241209701406-430201
2024.12.09,17:09,《通網股》遠傳5G診療服務跨海 進軍印尼,https://www.ctee.com.tw/news/20241209701556-430201
2024.12.09,17:08,《通網股》台灣大結盟Google、LINE！AI助中小企業掀轉型浪潮,https://www.ctee.com.tw/news/20241209701555-430201
2024.12.09,17:05,《電週邊》維田營收6連跌 盼明年H1春燕,https://www.ctee.com.tw/news/20241209701554-430201
2024.12.09,17:03,《半導體》看英特爾及三星困境 張忠謀這麼說,https://www.ctee.com.tw/news/20241209701553-430201
2024.12.09,16:57,台中大案交屋挹注 富華新前11月營收年增527％,https://www.ctee.com.tw/news/20241209701374-430201
2024.12.09,16:55,「無晶片設計模式」打天下！這檔登興櫃首日飆升72％,https://www.ctee.com.tw/news/20241209701368-430201
2024.12.09,16:55,賴昇楷｜類股輪漲 留意6檔IC設計股,https://www.ctee.com.tw/news/20241209701372-430205
2024.12.09,16:54,外資上週買超761億元 終止連3賣,https://www.ctee.com.tw/news/20241209701230-430201
2024.12.09,16:51,《電週邊》緯創攜手恩智浦成立聯合實驗室 加速汽車創新應用開發,https://www.ctee.com.tw/news/20241209701524-430201
2024.12.09,16:48,《綠能環》山林水總座：水資源工程布局深 營運成長動能足,https://www.ctee.com.tw/news/20241209701507-430201
2024.12.09,16:39,《電週邊》華碩董事長施崇棠出席慈濟論壇 分享利他共善,https://www.ctee.com.tw/news/20241209701487-430201
2024.12.09,16:39,強化法令遵循 期交所辦資安及業務宣導,https://www.ctee.com.tw/news/20241209701339-430201
2024.12.09,16:37,台達電11月營收366億元年增8.9％ 創歷年同期新高,https://www.ctee.com.tw/news/20241209701316-430201
2024.12.09,16:27,《通網股》亞馬遜、微軟奪獎 中華電聚焦供應鏈減碳,https://www.ctee.com.tw/news/20241209701465-430201
2024.12.09,16:24,《半導體》世界先進11月營收寫同期次高 Q4展望不變,https://www.ctee.com.tw/news/20241209701464-430201
2024.12.09,16:19,《電零組》台達電11月營收小減至366.47億元 Q4看贏上季,https://www.ctee.com.tw/news/20241209701433-430201
2024.12.09,16:08,《鋼鐵股》榮剛11月營收年減1成 估12月持穩高檔,https://www.ctee.com.tw/news/20241209701415-430201
2024.12.09,16:02,《資服股》精誠11月營收年增35.12％ 攜前11月雙創同期新高,https://www.ctee.com.tw/news/20241209701413-430201
2024.12.09,16:00,《化工股》需求回溫+新品效應 南寶前11月營收創同期高,https://www.ctee.com.tw/news/20241209701386-430201
2024.12.09,15:58,《通網股》光環鎖定數據中心應用 2025營收挑戰雙位數成長,https://www.ctee.com.tw/news/20241209701385-430201
2024.12.09,15:52,《航運股》星宇航空獲頒國際航空運輸協會鋰電池運輸認證,https://www.ctee.com.tw/news/20241209701384-430201
2024.12.09,15:51,《電零組》健鼎11月營收雙升 今年業績將創新高,https://www.ctee.com.tw/news/20241209701383-430201
2024.12.09,15:49,《半導體》十銓11月營收2位數雙減 前11月仍增近3成,https://www.ctee.com.tw/news/20241209701358-430201
2024.12.09,15:33,《電通股》聯強前11月營收締新猷 年增9%,https://www.ctee.com.tw/news/20241209701342-430201
2024.12.09,15:32,瀚亞投信：2025年台股再拚新高 產業聚焦三大主軸,https://www.ctee.com.tw/news/20241209701223-430201
2024.12.09,15:27,航運噴發 台股衝刺年終作帳 分析師：緊盯台幣突破這價位,https://www.ctee.com.tw/news/20241209701137-430201
2024.12.09,15:25,《家生活》上洋11月營收年增逾3成 攜前11月續創同期新高,https://www.ctee.com.tw/news/20241209701321-430201
2024.12.09,15:15,《盤後解析》中小型電子股壓回 觀盤3重點,https://www.ctee.com.tw/news/20241209701310-430201
2024.12.09,14:59,外資上周賣電子轉進非電族群 持有台股市值單周飆增1.8兆元,https://www.ctee.com.tw/news/20241209701152-430201
2024.12.09,14:53,《觀光股》揚秦11月營收寫第3高 前11月已締年度新猷,https://www.ctee.com.tw/news/20241209701285-430201
2024.12.09,14:52,《資服股》虎門科技前11月營收年增13.99％ 今年再創高,https://www.ctee.com.tw/news/20241209701284-430201
2024.12.09,14:31,台股上升79點 海空匯人氣 這檔傳奪CoWoS訂單股價飆漲停,https://www.ctee.com.tw/news/20241209700979-430201
2024.12.09,14:21,《通網股》台灣大MyVideo影音排行榜揭曉 台劇霸榜、動畫IP再創佳績,https://www.ctee.com.tw/news/20241209701226-430201
2024.12.09,13:49,SCFI連二漲！貨櫃三雄揚帆 陽明飆近漲停、成交量居冠,https://www.ctee.com.tw/news/20241209700990-430201
2024.12.09,12:58,錼創爆量衝漲停價 173.5歷史高價還遠？,https://www.ctee.com.tw/news/20241209701062-430201
2024.12.09,12:56,"宋恭源11月加碼光寶科1,150張 扮演股價衝上百元重要功臣",https://www.ctee.com.tw/news/20241209700961-430201
2024.12.09,12:51,《化工股》11月營收創上市新高 材料-KY衝上979元,https://www.ctee.com.tw/news/20241209701061-430201
2024.12.09,12:45,《其他電》德律11月獲利雙升登同期高 前11月倍增寫次高,https://www.ctee.com.tw/news/20241209701043-430201
2024.12.09,12:08,切入Cowos、11月營收創今年高 安國飆漲停 站季線,https://www.ctee.com.tw/news/20241209700840-430201
2024.12.09,12:06,神盾集團發威 這檔營收年增逾50％ 股價跳空開高噴漲停,https://www.ctee.com.tw/news/20241209700902-430201
2024.12.09,12:03,《熱門族群》SCFI續揚 迎年前小旺季 航海王揚帆攻高,https://www.ctee.com.tw/news/20241209700977-430201
2024.12.09,11:57,AES-KY今天遭列處置股 成交量急縮失去千金股寶座,https://www.ctee.com.tw/news/20241209700897-430201
2024.12.09,11:56,《鋼鐵股》豐興廢鋼、鋼筋開平盤 出貨穩,https://www.ctee.com.tw/news/20241209700969-430201
2024.12.09,11:56,鏵友益私募效益續發酵 攻上百元新高價,https://www.ctee.com.tw/news/20241209700968-430201
2024.12.09,11:48,業績強＋前景俏 光聖漲停登天價,https://www.ctee.com.tw/news/20241209700959-430201
2024.12.09,11:42,12／9盤中熱門焦點股,https://www.ctee.com.tw/news/20241209700846-430201
2024.12.09,11:29,營收挾AI登8個月高 京元電遭看中立、目標價132元,https://www.ctee.com.tw/news/20241209700947-430201
2024.12.09,11:26,《盤中解析》權王穩盤 航運股助攻23300點,https://www.ctee.com.tw/news/20241209700946-430201
2024.12.09,11:25,《台北股市》大華銀投信看2025 聚焦AI供應鏈與高填息ETF,https://www.ctee.com.tw/news/20241209700945-430201
2024.12.09,11:22,材料11月營收續創新高 法人看好這優勢喊買,https://www.ctee.com.tw/news/20241209700775-430201
2024.12.09,11:18,《生醫股》逸達前11月營收跳增143% 新藥FP-020拚明年完成國際授權,https://www.ctee.com.tw/news/20241209700934-430201
2024.12.09,11:10,殖利率行情啟動 股息達人授四步驟選股秘訣,https://www.ctee.com.tw/news/20241209700739-430205
2024.12.09,11:03,江國中｜還在看高股息新增成份股？快來卡位2025業績大爆發族群！,https://www.ctee.com.tw/news/20241209700737-430205
2024.12.09,10:40,11月營收衝次高 意德士亮燈攻頂,https://www.ctee.com.tw/news/20241209700855-430201
2024.12.09,10:30,多頭匯聚 中型100期開高走揚,https://www.ctee.com.tw/news/20241209700658-430202
2024.12.09,10:26,威力強！大型ETF鍾愛陽明、長榮 貨櫃三雄股價齊嗨,https://www.ctee.com.tw/news/20241209700651-430201
2024.12.09,10:22,《電零組》崧騰今年EPS挑戰4元 明年營運增雙位數快攻,https://www.ctee.com.tw/news/20241209700833-430201
2024.12.09,10:16,《綠能環》台電二期進度遞延 森崴能源後市保守,https://www.ctee.com.tw/news/20241209700787-430201
2024.12.09,10:12,"美系外資力挺AWS 3奈米專案 世芯-KY目標價直指3,800",https://www.ctee.com.tw/news/20241209700785-430201
2024.12.09,10:09,《營建股》大陸工程拿下48.28億元南機社宅2區案,https://www.ctee.com.tw/news/20241209700764-430201
2024.12.09,10:03,日勝生業外大進補 股價跳空漲停逾萬張排隊等買,https://www.ctee.com.tw/news/20241209700586-430201
2024.12.09,09:59,《航運股》華航歐洲平均載客率超過8成5 明年增班維也納、布拉格,https://www.ctee.com.tw/news/20241209700734-430201
2024.12.09,09:43,《金融股》第一銀攜手兆基管理顧問 活化高齡者不動產及保全功能,https://www.ctee.com.tw/news/20241209700723-430201
2024.12.09,09:40,AI伺服器成股王金鐘罩！外資長期看好信驊,https://www.ctee.com.tw/news/20241209700694-430201
2024.12.09,09:27,《電零組》歐洲車用長單到手 胡連明年業績可望再飆高,https://www.ctee.com.tw/news/20241209700669-430201
2024.12.09,09:27,《生醫股》生技股王保瑞11月營收月減近2成 股價跌幅逾5%,https://www.ctee.com.tw/news/20241209700668-430201
2024.12.09,09:25,台股早盤續揚 安國、迅杰、芯鼎等IC設計集團股強攻,https://www.ctee.com.tw/news/20241209700534-430201
2024.12.09,09:18,《金融股》富邦金籌碼面偏多 北富銀前進高雄亞洲資產管理中心,https://www.ctee.com.tw/news/20241209700633-430201
2024.12.09,09:17,華新11月營收創單月新高 9日股價先漲後跌,https://www.ctee.com.tw/news/20241209700542-430201
2024.12.09,09:16,楊惠宇｜抓住12月潛力 ITH-KY等三檔可關注,https://www.ctee.com.tw/news/20241209700541-430205
2024.12.09,09:15,《半導體》力士新品進入量產測試階段 2025上半年貢獻營收,https://www.ctee.com.tw/news/20241209700632-430201
2024.12.09,09:00,標普和那指創新高 關注Fed利率政策與台積電營收,https://www.ctee.com.tw/news/20241209700487-430201
2024.12.09,08:59,《期貨》12月台指期開盤小漲13點 電金漲跌互見,https://www.ctee.com.tw/news/20241209700585-430201
2024.12.09,08:26,12／9群益早安｜全球財經時事深度解說,https://www.ctee.com.tw/news/20241209700463-430205
2024.12.09,08:20,白易弘｜美股續創高 留意2檔題材股,https://www.ctee.com.tw/news/20241209700464-430205
2024.12.09,07:59,《電零組》臻鼎-KY 11月營收登次高 明年營運再拚新高,https://www.ctee.com.tw/news/20241209700523-430201
2024.12.09,07:58,《證交所》陽明納入台灣50指數成分股,https://www.ctee.com.tw/news/20241209700522-430201
2024.12.09,07:58,《盤前掃瞄-國外消息》穩市場信心 韓開部長級會議；TikTok上訴失敗,https://www.ctee.com.tw/news/20241209700521-430201
2024.12.09,07:48,《櫃買市場》櫃買債券ETF添3新兵 9日掛牌交易,https://www.ctee.com.tw/news/20241209700513-430201
2024.12.09,07:48,《類股》資服股緯軟11月營收再創高 叡揚年增9％,https://www.ctee.com.tw/news/20241209700511-430201
2024.12.09,07:45,《電週邊》光寶科11月營收微增 Q4不淡,https://www.ctee.com.tw/news/20241209700510-430201
2024.12.09,07:44,《電零組》騰輝-KY11月合併營收月減2.3% 國際訂單後市添動能,https://www.ctee.com.tw/news/20241209700507-430201
2024.12.09,07:43,《半導體》穎崴前11月營收年增逾52% 提前創年度新猷,https://www.ctee.com.tw/news/20241209700506-430201
2024.12.09,07:43,《半導體》光罩前11月營收寫次高 續拓高階光罩市場,https://www.ctee.com.tw/news/20241209700505-430201
2024.12.09,07:34,12／9盤前｜川普衝擊波！一票台廠喜迎急單潮 年終追單一次看,https://www.ctee.com.tw/news/20241209700400-430201
2024.12.09,03:00,台積12日除息 一日填息有戲 法人有信心七季連莊，將助台股穩23K、收復24K,https://www.ctee.com.tw/news/20241209700050-430201
2024.12.09,03:00,年底換股潮來了！ 星宇等15檔外資搶押寶 這家半導體持股比率奪冠,https://www.ctee.com.tw/news/20241209700053-430201
2024.12.09,03:00,三多大匯聚 台光電等15檔法人補貨 這檔散熱買超破萬張,https://www.ctee.com.tw/news/20241209700156-430201
2024.12.09,03:00,股王信驊後市 外資多空對打,https://www.ctee.com.tw/news/20241209700159-430201
2024.12.09,03:00,期交所今推出臺灣中型100指數期貨,https://www.ctee.com.tw/news/20241209700162-430202
2024.12.09,03:00,籌碼K線秀3大重點數據 發掘潛力股 搶先布局,https://www.ctee.com.tw/news/20241209700165-430201
2024.12.09,03:00,震盪加劇 保留彈性,https://www.ctee.com.tw/news/20241209700166-430205
2024.12.09,03:00,林修銘籲設功能性委員會,https://www.ctee.com.tw/news/20241209700188-430201
2024.12.09,03:00,11月定期定額 創單月次高,https://www.ctee.com.tw/news/20241209700190-430201
2024.12.09,03:00,證交所參與愛心公益嘉年華,https://www.ctee.com.tw/news/20241209700191-430201
2024.12.09,03:00,櫃買 邀民眾共同打詐,https://www.ctee.com.tw/news/20241209700193-430201
2024.12.09,03:00,台指期 外資淨空單大減,https://www.ctee.com.tw/news/20241209700197-430202
2024.12.09,03:00,風險情緒升 比特幣、美股寫新高,https://www.ctee.com.tw/news/20241209700199-430202
2024.12.09,03:00,憂原油供過於求 技術面保守偏空,https://www.ctee.com.tw/news/20241209700200-430202
2024.12.09,03:00,需求湧現 世芯-KY、台光電看旺,https://www.ctee.com.tw/news/20241209700203-430203
